pano|pmes|conglome|submuestra|vivienda|hogar|codperso|dominio|estrato|codpanel|p103|p104|p105|p106|p107|p108|p109a|p109b|p109c|p200n|p200i|p200a|p200b|p200bb|p200c|p200d|p200dd|p200e|p200f|p200g|p201|p202|p203|p204|p2041|p2042|p2043|p2044|p2045|p2046|p2047|p2048|p2049|p20410|p204a|p205a|p206|P206AA|p207a|p207b|p208b1|p208b2|p208b3|p209a|p209b|p209c|p209d|p209e|p209f|p209g|p209t|p209bb|p209cc|p209h|p209ee|p210|p211a|p211b|p212a|p212b|p212c|p212d|p212e|p213|p214|p215|p216|p217|p218|p219|p220|p222|P223A1|P223A2|P223A3|P223A4|P223A5|P223A6|P223A7|P224|P225|ocu200|i211a|i211b|i212a|i212b|i212c|i212d|ingtot|ingprin|resident|fa_jja20
2020|06|017457|004|0124|11|05||3|19061106|10|1|2||1|5|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|
2020|06|017457|004|0125|11|01||3|19061101|1|1|2||1|54|8|3||1|1|7|6|2020|13|6|2020|3|12|1965|1||||||||||||||572|4772|5|5|1|2|||2007|0|8|8|8|8|8|8|48|1||1|2|||||||||||||||||5|0|0|0|0|0|0|1|6|4|1|||||||0|0|1|262.629295047205
2020|06|017457|004|0125|11|02||3|19061102|2|1|2||2|53|8|3||2|2|14|6|2020|20|6|2020|10|12|1966|1||||||||||||||351|4772|2||1|2|||2008|0|5|5|5|5|5|4|29|1||1|1||||1500|60|||1|||||||||5|0|0|0|0|0|0|1|6|4|1|||1500|60|||1560|1560|1|263.732302964707
2020|06|017457|004|0125|11|03||3|19061103|3|1|2||1|24|10|5||3|1|14|6|2020|20|6|2020|14|10|1995|1||||||||||||||572|4772|3|5|1|20|15|12|2019|0|8|8|8|8|8|8|48|1||1|2|4|1200|0|||||1|||||||||5|0|0|0|0|0|0|1|6|4|1|1200|0|||||1200|1200|1|453.80801851024
2020|06|017457|004|0125|11|04||3|19061104|3|1|2||1|23|10|5||4|4|14|6|2020|20|6|2020|22|6|1997|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||1|||||7|4|1|5|0|0|0|0|0|0|1|6|4|2|||||||||1|453.80801851024
2020|06|017483|001|0001|11|01||4|18061101|1|1|2||2|41|5|2||1|1|14|6|2020|20|6|2020|14|9|1978|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|5|1|2||0||1|5|0|0|0|0|0|0|1|6|4|4|||||||||1|397.762184898873
2020|06|017483|001|0001|11|02||4|18061102|3|1|2||1|22|1|||2|2|14|6|2020|20|6|2020|11|3|1998|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|5|2|||0||2|6|0|0|0|0|0|0|1|6|4|4|||||||||1|404.546869138904
2020|06|017483|001|0001|11|03||4|18061104|3|1|2||2|19|6|5||3|3|14|6|2020|20|6|2020|3|2|2001|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|5|2|||0||1|6|0|0|0|0|0|0|1|6|4|4|||||||||1|414.27745937236
2020|06|017483|001|0001|11|04||4|18061105|3|1|2||1|15|5|4||4|4|14|6|2020|20|6|2020|4|7|2004|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|4|2|||0||2|6|0|0|0|0|0|0|1|6|4|4|||||||||1|404.546869138904
2020|06|017483|001|0001|11|05||4|18061106|3|1|2||2|14|5|2||5|5|14|6|2020|20|6|2020|4|6|2006|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|4|2|||0||2|6|0|0|0|0|0|0|1|6|4|4|||||||||1|414.27745937236
2020|06|017483|001|0001|11|06||4|18061107|3|1|2||1|11|3||3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|
2020|06|017483|001|0001|11|07||4|20061107|3|2||1|1|20|6|5||7|7|14|6|2020|20|6|2020|30|10|1999|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|5|1|2||0||1|5|0|0|0|0|0|0|1|6|4|4|||||||||1|404.546869138904
2020|06|017483|001|0001|11|08||4|20061108|4|2||1|2|21|6|5||8|8|14|6|2020|20|6|2020|12|12|1998|2|2|2||2|2|2|2|2|2|2|2|2|2||||||||||||||||||||||||||||||2|5|1|1|6|0||1|6|0|0|0|0|0|0|1|6|4|4|||||||||1|414.27745937236
2020|06|017483|001|0001|11|09||4|20061109|10|2||1|2|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|
2020|06|017483|001|0002|11|01||4|18061101|1|1|2||1|48|6|5||1|1|14|6|2020|20|6|2020|26|5|1972|2|1|||||||||||||749|1394|4|5|1|50|||2002|0|0|0|0|0|0|0|0|2|48|1|2|4|930|0|||||1|||||||||5|0|0|0|0|0|0|1|6|4|1|930|0|||||930|930|1|234.120717840747
